year,month,tmean
1920,Jun,0.5815240740776062
1920,Jul,0.411406010389328
1920,Aug,-0.03289300575852394
1920,Sep,0.2887815535068512
1920,Oct,-1.7983660697937012
1920,Nov,1.7631144523620605
1920,Dec,-0.7233783006668091
1921,Jan,-2.6939990520477295
1921,Feb,-0.701080322265625
1921,Mar,0.7395061254501343
1921,Apr,0.8523566722869873
1921,May,-0.007994047366082668
1921,Jun,0.833217978477478
1921,Jul,0.7042328119277954
1921,Aug,0.2857474684715271
1921,Sep,-1.775801658630371
1921,Oct,0.5658857226371765
1921,Nov,-0.6396604180335999
1921,Dec,5.5611982345581055
1922,Jan,4.425551414489746
1922,Feb,2.3217151165008545
1922,Mar,-2.3688576221466064
1922,Apr,1.072983980178833
1922,May,-3.6793932914733887
1922,Jun,-1.3495851755142212
1922,Jul,-3.196650505065918
1922,Aug,-1.3368840217590332
1922,Sep,-3.0628128051757813
1922,Oct,1.487494945526123
1922,Nov,0.7127338647842407
1922,Dec,1.7070399522781372
1923,Jan,-3.276411533355713
1923,Feb,4.513926982879639
1923,Mar,-1.777206540107727
1923,Apr,-0.38434499502182007
1923,May,0.07095472514629364
1923,Jun,1.4361060857772827
1923,Jul,0.3990819752216339
1923,Aug,2.0294365882873535
1923,Sep,0.025233712047338486
1923,Oct,4.87907600402832
1923,Nov,3.308600902557373
1923,Dec,-4.144683361053467
1924,Jan,1.817548394203186
1924,Feb,-1.780832052230835
1924,Mar,6.931790828704834
1924,Apr,-7.009187698364258
1924,May,-1.3296122550964355
1924,Jun,-1.471100091934204
1924,Jul,-1.3560017347335815
1924,Aug,-1.5314500331878662
1924,Sep,-2.185441017150879
1924,Oct,-3.309816598892212
1924,Nov,2.3562159538269043
1924,Dec,0.6172696352005005
1925,Jan,-7.850907802581787
1925,Feb,-6.603414535522461
1925,Mar,-1.3352751731872559
1925,Apr,1.3782999515533447
1925,May,0.9870668053627014
1925,Jun,1.135379433631897
1925,Jul,-0.21804195642471313
1925,Aug,0.5924341082572937
1925,Sep,1.4279595613479614
1925,Oct,3.117997646331787
1925,Nov,0.7153249979019165
1925,Dec,2.540069103240967
1926,Jan,8.2835054397583
1926,Feb,1.2416857481002808
1926,Mar,5.676674842834473
1926,Apr,3.2526142597198486
1926,May,0.045458871871232986
1926,Jun,1.062751293182373
1926,Jul,-0.3605639636516571
1926,Aug,-0.38667014241218567
1926,Sep,1.338782548904419
1926,Oct,3.0018789768218994
